Measurement_ID,Roll (deg),Pitch (deg),Heading (deg),Yaw (deg),Yaw Rate (deg/s),Velocity (m/s),Steering Angle (deg),Relative Altitude (m),Altitude AMSL (m),Altitude Tuning,Altitude Tuning Setpoint,X-Track Error (m),Travelled Distance (m),Run Time,Distance To Home (m),Mission Index,Heading To Next WP (deg),Heading To Home (deg),Distance To GCS (m),Throttle (%),Hobbs,Clock Time,Clock Date,GPS Latitude,GPS Longitude,GPS MGRS,GPS HDOP,GPS VDOP,GPS Course,Satellite Locks,Satellite Count,Longitudinal Position (m),Lateral Position (m),Vertical Position (m),Longitudinal Velocity (m/s),Absolute Longitudinal Velocity (m/s),Lateral Velocity (m/s),Absolute Lateral Velocity (m/s),Vertical Velocity (m/s),Temperature (F),Longitudinal Vibration,Lateral Vibration,Vertical Vibration,Data Type
1,1.1,-2.2,181,1,0,0.0,-89.95770727,-0.1,-0.4,-767.1,-765.54,-758.656,522.1,0:03:49,44.8,2,98.0,283.0,,0,2:01:43,15:08:52,4/1/2022,32.7564702,-107.2584992,13SBS 88419 26546,100.0,100.0,356.1,1,0,19.2,33.7,-0.4,4.7,4.7,-5.4,5.4,0.0,105.12,0.0,0.0,0.0,1
1,1.2,-2.3,181,1,0,0.0,-89.95770727,-0.6,-1.0,-765.98,-765.54,-758.656,522.1,0:03:50,44.8,2,98.0,283.0,,0,2:01:43,15:08:53,4/1/2022,32.7564702,-107.2584992,13SBS 88419 26546,100.0,100.0,356.1,1,0,19.2,33.7,-0.4,4.7,4.7,-5.4,5.4,0.0,105.15,0.0,0.0,0.0,1
1,1.3,-2.3,181,1,0,0.0,-89.95770727,-0.8,-1.1,-766.94,-765.54,-758.656,522.1,0:03:51,44.8,2,98.0,283.0,,0,2:01:43,15:08:54,4/1/2022,32.7564702,-107.2584992,13SBS 88419 26546,100.0,100.0,356.1,1,0,19.2,33.7,-0.4,4.7,4.7,-5.4,5.4,0.0,105.17,0.0,0.0,0.0,1
1,1.3,-2.3,181,1,0,0.0,-89.95770727,-0.4,-0.8,-766.8,-765.54,-758.656,522.1,0:03:52,44.8,2,98.0,283.0,,0,2:01:43,15:08:55,4/1/2022,32.7564702,-107.2584992,13SBS 88419 26546,100.0,100.0,356.1,1,0,19.2,33.7,-0.4,4.7,4.7,-5.4,5.4,0.0,105.15,0.0,0.0,0.0,1
1,1.4,-2.3,181,1,0,0.0,-89.95770727,-0.1,-0.4,-766.54,-765.54,-758.656,522.1,0:03:53,44.8,2,98.0,283.0,,0,2:01:43,15:08:56,4/1/2022,32.7564702,-107.2584992,13SBS 88419 26546,100.0,100.0,356.1,1,0,19.2,33.7,-0.4,4.7,4.7,-5.4,5.4,0.0,105.15,0.0,0.0,0.0,1
1,1.4,-2.3,181,1,0,0.0,-89.95770727,-0.4,-0.7,-766.7,-765.54,-758.656,522.1,0:03:54,44.8,2,98.0,283.0,,0,2:01:43,15:08:57,4/1/2022,32.7564702,-107.2584992,13SBS 88419 26546,100.0,100.0,356.1,1,0,19.2,33.7,-0.4,4.7,4.7,-5.4,5.4,0.0,105.15,0.0,0.0,0.0,1
1,1.5,-2.3,181,1,0,0.0,-89.95770727,0.2,-0.1,-766.61,-765.54,-758.656,522.1,0:03:55,44.8,2,98.0,283.0,,0,2:01:43,15:08:58,4/1/2022,32.7564702,-107.2584992,13SBS 88419 26546,100.0,100.0,356.1,1,0,19.2,33.7,-0.4,4.7,4.7,-5.4,5.4,0.0,105.15,0.0,0.0,0.0,1
1,1.5,-2.3,181,1,0,0.0,-89.95770727,-0.2,-0.6,-766.84,-765.54,-758.656,522.1,0:03:56,44.8,2,98.0,283.0,,0,2:01:43,15:08:59,4/1/2022,32.7564702,-107.2584992,13SBS 88419 26546,100.0,100.0,356.1,1,0,19.2,33.7,-0.4,4.7,4.7,-5.4,5.4,0.0,105.17,0.0,0.0,0.0,1
1,1.5,-2.3,181,1,0,0.0,-89.95770727,0.0,-0.4,-766.95,-765.54,-758.656,522.1,0:03:57,44.8,2,98.0,283.0,,0,2:01:43,15:09:00,4/1/2022,32.7564702,-107.2584992,13SBS 88419 26546,100.0,100.0,356.1,1,0,19.2,33.7,-0.4,4.7,4.7,-5.4,5.4,0.0,105.19,0.0,0.0,0.0,1
1,1.1,-2.1,155,-25,-26,0.4,-89.95770727,764.9,764.6,-1.47,-765.54,-758.656,4534.0,0:03:58,4055.1,2,98.0,269.0,,0,2:01:43,15:09:01,4/1/2022,32.2319999,-110.9026368,12SWA 09173 66155,3.0,2.5,316.9,3,5,71.4,4058.5,0.4,0.4,0.4,-0.4,0.4,0.0,105.19,0.0,0.0,0.0,1
1,1.1,-2.1,155,-25,0,0.5,-89.95770727,764.8,764.5,-1.52,-765.54,-758.656,4534.0,0:03:59,4054.2,2,98.0,269.0,,0,2:01:43,15:09:02,4/1/2022,32.2320185,-110.9026561,12SWA 09171 66157,3.0,2.5,313.7,3,5,71.7,4058.0,0.5,0.2,0.2,-0.3,0.3,0.0,105.22,0.0,0.0,0.0,1
1,1.1,-2.2,155,-25,0,0.6,-89.95770727,764.8,764.4,-1.57,-765.54,-758.656,4536.0,0:04:00,4052.9,2,98.0,269.0,,0,2:01:43,15:09:03,4/1/2022,32.2320267,-110.9026577,12SWA 09171 66158,3.0,2.5,311.7,3,5,73.2,4056.3,0.6,0.4,0.4,-0.5,0.5,0.1,105.22,0.0,0.0,0.0,1
1,1.1,-2.2,155,-25,0,0.6,-89.95770727,764.8,764.4,-1.58,-765.54,-758.656,4538.3,0:04:01,4052.2,2,98.0,269.0,,0,2:01:43,15:09:04,4/1/2022,32.2320466,-110.9026674,12SWA 09170 66160,3.0,2.5,312.3,3,5,74.1,4055.6,0.6,0.3,0.3,-0.5,0.5,0.1,105.26,0.0,0.0,0.0,1
1,1.1,-2.2,155,-25,0,0.4,-89.95770727,764.8,764.4,-1.59,-765.54,-758.656,4538.3,0:04:02,4051.4,2,98.0,269.0,,0,2:01:43,15:09:05,4/1/2022,32.2320587,-110.9026774,12SWA 09169 66162,3.0,2.5,312.3,3,5,75.5,4054.7,0.6,0.3,0.3,-0.4,0.4,0.0,105.26,0.0,0.0,0.0,1
1,1.0,-2.2,155,-25,0,0.3,-89.95770727,764.8,764.4,-1.57,-765.54,-758.656,4540.5,0:04:03,4050.7,2,98.0,269.0,,0,2:01:43,15:09:06,4/1/2022,32.2320754,-110.9026896,12SWA 09168 66164,3.0,2.5,312.3,3,5,76.5,4054.0,0.6,0.2,0.2,-0.3,0.3,0.0,105.28,0.0,0.0,0.0,1
1,1.0,-2.3,155,-25,0,0.1,-89.95770727,764.8,764.5,-1.53,-765.54,-758.656,4540.5,0:04:04,4050.1,2,98.0,269.0,,0,2:01:43,15:09:07,4/1/2022,32.2320893,-110.9026898,12SWA 09168 66165,3.0,2.5,224.9,3,5,78.2,4053.1,0.5,0.1,0.1,-0.2,0.2,0.0,105.3,0.0,0.0,0.0,1
1,1.0,-2.3,155,-25,0,0.1,-89.95770727,764.9,764.5,-1.51,-765.54,-758.656,4543.7,0:04:05,4049.4,2,98.0,269.0,,0,2:01:43,15:09:08,4/1/2022,32.2321049,-110.9026887,12SWA 09168 66167,3.0,2.5,224.9,3,5,80.0,4052.6,0.5,0.0,0.0,-0.1,0.1,0.0,105.31,0.0,0.0,0.0,1
1,1.0,-2.2,155,-25,0,0.1,-89.95770727,764.9,764.5,-1.52,-765.54,-758.656,4546.0,0:04:06,4049.2,2,98.0,269.0,,0,2:01:43,15:09:09,4/1/2022,32.2321104,-110.9026834,12SWA 09168 66168,3.0,2.5,224.9,3,5,81.1,4052.4,0.5,0.0,0.0,-0.1,0.1,0.0,105.33,0.0,0.0,0.0,1
1,1.0,-2.2,155,-25,0,0.0,-89.95770727,764.8,764.5,-1.55,-765.54,-758.656,4546.0,0:04:07,4049.6,2,98.0,269.0,,0,2:01:43,15:09:10,4/1/2022,32.23207,-110.9026471,12SWA 09172 66163,3.0,2.5,279.1,3,5,81.6,4052.8,0.5,0.0,0.0,0.0,0.0,0.0,105.37,0.0,0.0,0.0,1
1,1.0,-2.3,155,-25,0,0.2,-89.95770727,764.8,764.5,-1.54,-765.54,-758.656,4548.2,0:04:08,4051.1,2,98.0,269.0,,0,2:01:43,15:09:11,4/1/2022,32.2319489,-110.9025549,12SWA 09180 66150,3.0,2.5,279.1,3,5,79.9,4054.3,0.5,-0.1,0.1,0.1,0.1,0.0,105.39,0.0,0.0,0.0,1
1,1.1,-2.4,155,-25,0,0.3,-89.95770727,764.8,764.5,-1.55,-765.54,-758.656,4551.2,0:04:09,4052.8,2,98.0,269.0,,0,2:01:43,15:09:12,4/1/2022,32.2319489,-110.9025549,12SWA 09180 66150,3.0,2.5,279.1,3,5,77.5,4056.1,0.5,-0.3,0.3,0.2,0.2,0.0,105.39,0.0,0.0,0.0,1
1,1.1,-2.5,155,-25,0,0.6,-89.95770727,764.8,764.5,-1.58,-765.54,-758.656,4553.7,0:04:10,4054.2,2,98.0,269.0,,0,2:01:43,15:09:13,4/1/2022,32.2317855,-110.9024359,12SWA 09192 66132,3.0,2.5,279.1,3,5,75.5,4057.5,0.5,-0.4,0.4,0.3,0.3,0.0,105.39,0.0,0.0,0.0,1
1,1.2,-2.5,155,-25,0,0.9,-89.95770727,764.7,764.4,-1.62,-765.54,-758.656,4556.5,0:04:11,4056.4,2,98.0,269.0,,0,2:01:43,15:09:14,4/1/2022,32.2317559,-110.902416,12SWA 09194 66128,3.0,2.5,279.1,3,5,72.0,4059.8,0.6,-0.7,0.7,0.4,0.4,0.0,105.39,0.0,0.0,0.0,1
1,1.2,-2.5,155,-25,0,1.1,-89.95770727,764.7,764.3,-1.69,-765.54,-758.656,4562.4,0:04:12,4058.7,2,98.0,269.0,,0,2:01:43,15:09:15,4/1/2022,32.2316945,-110.9023733,12SWA 09198 66121,3.0,2.5,279.1,3,5,68.2,4062.2,0.7,-0.9,0.9,0.5,0.5,0.0,105.39,0.0,0.0,0.0,1
1,1.2,-2.6,155,-25,0,1.3,-89.95770727,764.6,764.3,-1.72,-765.54,-758.656,4565.6,0:04:13,4061.3,2,98.0,269.0,,0,2:01:43,15:09:16,4/1/2022,32.2316593,-110.9023476,12SWA 09200 66118,3.0,2.5,279.1,3,5,64.1,4064.8,0.7,-1.1,1.1,0.6,0.6,0.0,105.42,0.0,0.0,0.0,1
1,1.2,-2.5,155,-25,0,1.5,-89.95770727,764.7,764.3,-1.71,-765.54,-758.656,4573.0,0:04:14,4064.4,2,98.0,269.0,,0,2:01:43,15:09:17,4/1/2022,32.2316428,-110.9023356,12SWA 09201 66116,3.0,2.5,279.1,3,5,61.2,4066.6,0.7,-1.3,1.3,0.7,0.7,0.0,105.44,0.0,0.0,0.0,1
1,1.3,-2.1,155,-25,0,1.7,-89.95770727,764.8,764.5,-1.55,-765.54,-758.656,4580.6,0:04:15,4068.8,2,98.0,269.0,,0,2:01:43,15:09:18,4/1/2022,32.231488,-110.9021527,12SWA 09218 66099,1.1,1.6,279.1,3,7,53.1,4072.5,0.5,-1.4,1.4,0.9,0.9,0.0,105.48,0.0,0.0,0.0,1
1,1.4,-1.5,155,-25,0,1.4,-89.95770727,764.8,764.5,-1.54,-765.54,-758.656,4593.4,0:04:16,4076.9,2,98.0,269.0,,0,2:01:43,15:09:19,4/1/2022,32.2314672,-110.9021145,12SWA 09222 66096,1.1,1.6,279.1,3,7,43.1,4080.8,0.5,-1.2,1.2,0.8,0.8,0.0,105.49,0.0,0.0,0.0,1
1,1.6,-0.6,155,-25,0,0.9,-89.95770727,764.8,764.5,-1.56,-765.54,-758.656,4601.0,0:04:17,4081.8,2,98.0,270.0,,0,2:01:43,15:09:20,4/1/2022,32.2314485,-110.9020771,12SWA 09226 66094,1.1,1.6,279.1,3,7,37.5,4085.6,0.5,-0.9,0.9,0.6,0.6,0.0,105.51,0.0,0.0,0.0,1
1,1.7,-0.1,155,-25,0,0.4,-89.95770727,764.8,764.4,-1.61,-765.54,-758.656,4610.3,0:04:18,4087.9,2,98.0,270.0,,0,2:01:43,15:09:21,4/1/2022,32.2314501,-110.9020722,12SWA 09226 66094,1.1,1.6,279.1,3,7,30.6,4091.9,0.6,-0.5,0.5,0.3,0.3,0.0,105.53,0.0,0.0,0.0,1
1,1.9,0.3,155,-25,0,0.1,-89.95770727,764.7,764.4,-1.65,-765.54,-758.656,4616.2,0:04:19,4092.0,2,98.0,270.0,,0,2:01:43,15:09:22,4/1/2022,32.2314498,-110.9020614,12SWA 09227 66094,1.1,1.6,279.1,3,7,26.3,4095.9,0.6,0.0,0.0,-0.1,0.1,0.1,105.53,0.0,0.0,0.0,1
1,1.8,0.3,155,-25,0,0.4,-89.95770727,764.7,764.4,-1.63,-765.54,-758.656,4618.7,0:04:20,4094.5,2,98.0,270.0,,0,2:01:43,15:09:23,4/1/2022,32.2314555,-110.9020618,12SWA 09227 66095,1.1,1.6,279.1,3,7,23.8,4098.5,0.6,0.2,0.2,-0.3,0.3,0.1,105.55,0.0,0.0,0.0,1
1,1.8,0.2,155,-25,0,0.4,-89.95770727,764.7,764.4,-1.61,-765.54,-758.656,4620.7,0:04:21,4095.2,2,98.0,270.0,,0,2:01:43,15:09:24,4/1/2022,32.2314539,-110.9020574,12SWA 09227 66095,1.1,1.6,279.1,3,7,22.5,4099.9,0.6,0.3,0.3,-0.3,0.3,0.0,105.55,0.0,0.0,0.0,1
1,1.6,-0.2,154,-26,-1,0.5,-89.95770727,764.7,764.4,-1.64,-765.54,-758.656,4623.4,0:04:22,4097.7,2,98.0,270.0,,0,2:01:43,15:09:26,4/1/2022,32.2314493,-110.9020473,12SWA 09228 66094,1.1,1.6,279.1,3,7,20.7,4101.7,0.6,0.3,0.3,-0.3,0.3,0.1,105.57,0.0,0.0,0.0,1
1,1.5,-0.5,154,-26,0,0.4,-89.95770727,764.7,764.4,-1.67,-765.54,-758.656,4625.6,0:04:23,4099.2,2,98.0,270.0,,0,2:01:43,15:09:27,4/1/2022,32.2314507,-110.902042,12SWA 09229 66094,1.1,1.6,279.1,3,7,19.4,4103.2,0.7,0.3,0.3,-0.3,0.3,0.1,105.57,0.0,0.0,0.0,1
1,1.5,-0.8,154,-26,0,0.4,-89.95770727,764.7,764.3,-1.69,-765.54,-758.656,4625.6,0:04:24,4100.1,2,98.0,270.0,,0,2:01:43,15:09:28,4/1/2022,32.2314502,-110.9020406,12SWA 09229 66094,1.1,1.6,279.1,3,7,18.6,4104.1,0.7,0.3,0.3,-0.3,0.3,0.1,105.53,0.0,0.0,0.0,1
1,1.3,-1.1,154,-26,0,0.3,-89.95770727,764.7,764.4,-1.63,-765.54,-758.656,4627.9,0:04:25,4101.3,2,98.0,270.0,,0,2:01:43,15:09:29,4/1/2022,32.2314468,-110.9020344,12SWA 09230 66094,1.1,1.6,279.1,3,7,17.6,4105.3,0.6,0.2,0.2,-0.2,0.2,0.0,105.55,0.0,0.0,0.0,1
1,1.3,-1.4,154,-26,0,0.2,-89.95770727,764.7,764.4,-1.62,-765.54,-758.656,4630.3,0:04:26,4102.3,2,98.0,270.0,,0,2:01:43,15:09:30,4/1/2022,32.2314468,-110.9020344,12SWA 09230 66094,1.1,1.6,279.1,3,7,16.8,4106.4,0.6,0.1,0.1,-0.1,0.1,0.0,105.55,0.0,0.0,0.0,1
1,1.2,-1.5,154,-26,0,0.1,-89.95770727,764.8,764.4,-1.61,-765.54,-758.656,4630.3,0:04:27,4103.3,2,98.0,270.0,,0,2:01:43,15:09:31,4/1/2022,32.2314504,-110.9020351,12SWA 09229 66094,1.1,1.6,279.1,3,7,16.1,4107.3,0.6,0.1,0.1,-0.1,0.1,0.0,105.53,0.0,0.0,0.0,1
1,1.3,-1.6,154,-26,0,0.1,-89.95770727,764.7,764.4,-1.66,-765.54,-758.656,4632.4,0:04:28,4104.0,2,98.0,270.0,,0,2:01:43,15:09:32,4/1/2022,32.2314559,-110.9020402,12SWA 09229 66095,1.1,1.6,279.1,3,7,15.7,4107.8,0.6,0.1,0.1,-0.1,0.1,0.0,105.51,0.0,0.0,0.0,1
1,1.3,-1.7,154,-26,0,0.1,-89.95770727,764.7,764.4,-1.66,-765.54,-758.656,4632.4,0:04:29,4104.4,2,98.0,270.0,,0,2:01:43,15:09:33,4/1/2022,32.2314616,-110.9020452,12SWA 09229 66096,1.1,1.6,279.1,3,7,15.1,4108.5,0.7,0.0,0.0,-0.1,0.1,0.0,105.51,0.0,0.0,0.0,1
1,1.2,-1.7,154,-26,0,0.1,-71.35820811,764.7,764.4,-1.67,-1.66,-1.66,4632.4,0:04:30,4104.9,2,98.0,270.0,,0,2:01:43,15:09:34,4/1/2022,32.2314686,-110.9020531,12SWA 09228 66096,1.1,1.6,279.1,3,7,14.8,4108.9,0.7,0.0,0.0,-0.1,0.1,0.1,105.49,0.0,0.0,0.0,1
1,1.2,-1.8,154,-26,0,0.0,-71.56505118,764.7,764.3,-1.68,-1.68,-1.68,4632.4,0:04:31,4105.2,2,98.0,270.0,,0,2:01:43,15:09:35,4/1/2022,32.23147,-110.902055,12SWA 09228 66097,1.1,1.6,279.1,3,7,14.6,4109.2,0.7,0.0,0.0,0.0,0.0,0.0,105.49,0.0,0.0,0.0,1
1,1.1,-1.8,154,-26,0,0.0,-71.35820811,764.7,764.4,-1.66,-1.66,-1.66,4632.4,0:04:32,4105.5,2,98.0,270.0,,0,2:01:43,15:09:36,4/1/2022,32.2314771,-110.9020614,12SWA 09227 66097,1.1,1.6,279.1,3,7,14.5,4109.5,0.7,0.0,0.0,0.0,0.0,0.0,105.48,0.0,0.0,0.0,1
1,1.1,-1.8,154,-26,0,0.0,-71.46218633,764.7,764.3,-1.69,-1.67,-1.67,4632.4,0:04:33,4105.7,2,98.0,270.0,,0,2:01:43,15:09:37,4/1/2022,32.2314805,-110.9020663,12SWA 09227 66098,1.1,1.6,279.1,3,7,14.5,4109.7,0.7,0.0,0.0,0.0,0.0,0.0,105.48,0.0,0.0,0.0,1
